date,gdp,gdp_trend,agriculture_gdp,construction_gdp,production_gdp,services_gdp,production,cpih_inflation,cpih_inflation_trend,house_price_index,house_price_index_trend,household_spending,household_spending_trend,household_income,household_income_trend,unemployment,unemployment_trend,cci,cci_trend,bci,bci_trend,cli,cli_trend,undergraduate_students,postgraduate_students,total_students,total_students_trend,hpi_east,hpi_east_trend,hpi_east_midlands,hpi_east_midlands_trend,hpi_england,hpi_england_trend,hpi_london,hpi_london_trend,hpi_north_east,hpi_north_east_trend,hpi_north_west,hpi_north_west_trend,hpi_south_east,hpi_south_east_trend,hpi_south_west,hpi_south_west_trend,hpi_west_midlands,hpi_west_midlands_trend,hpi_yorkshire_and_the_humber,hpi_yorkshire_and_the_humber_trend,avg_house_price_east,avg_house_price_east_trend,avg_house_price_east_midlands,avg_house_price_east_midlands_trend,avg_house_price_england,avg_house_price_england_trend,avg_house_price_london,avg_house_price_london_trend,avg_house_price_north_east,avg_house_price_north_east_trend,avg_house_price_north_west,avg_house_price_north_west_trend,avg_house_price_south_east,avg_house_price_south_east_trend,avg_house_price_south_west,avg_house_price_south_west_trend,avg_house_price_west_midlands,avg_house_price_west_midlands_trend,avg_house_price_yorkshire_and_the_humber,avg_house_price_yorkshire_and_the_humber_trend,median_income_east,median_income_east_trend,median_income_east_midlands,median_income_east_midlands_trend,median_income_england,median_income_england_trend,median_income_london,median_income_london_trend,median_income_north_east,median_income_north_east_trend,median_income_north_west,median_income_north_west_trend,median_income_south_east,median_income_south_east_trend,median_income_south_west,median_income_south_west_trend,median_income_west_midlands,median_income_west_midlands_trend,median_income_yorkshire_and_the_humber,median_income_yorkshire_and_the_humber_trend,median_salary_all,median_salary_all_trend,median_salary_16-17,median_salary_16-17_trend,median_salary_18-21,median_salary_18-21_trend,median_salary_22-29,median_salary_22-29_trend,median_salary_30-39,median_salary_30-39_trend,median_salary_40-49,median_salary_40-49_trend,median_salary_50-59,median_salary_50-59_trend,median_salary_60+,median_salary_60+_trend,starts_rounded,start_year,is_september,lag
2014-08-01,91.0274,90.67508458678104,121.9581,95.605,90.4236,90.5949,-1.0,1.5,1.3245318021376318,191932.1115,187361.29985923064,310673.0,310742.95514165855,186044.0,187029.37339740843,6.0,6.285329988712795,101.7876,100.9626215317961,102.3643,101.67156376960855,101.9592,101.3173632415901,1777645.0,538195.0,2315840.0,2315325.251334223,98.2,97.31189096957492,100.9,98.65871976928833,100.66,98.26802211078927,100.5,96.28465925887616,103.6,101.37914820526572,101.6,99.25290830535796,98.6,97.276954815603,99.5,97.74336409222354,101.2,99.25355420778774,102.6,100.38309643407236,224167.0,222128.93019253828,155033.0,151606.36954829388,191932.0,187363.06030919933,404754.0,387862.15556132735,121329.0,118762.88439131084,138230.0,135017.19087257443,261254.0,257628.79024777745,211731.0,208063.4439638614,160571.0,157494.8213457009,139749.0,136680.64425920654,27300.0,27251.725293167696,25003.0,25092.981067137247,27841.0,27877.437760632158,35303.0,35455.12996816451,25347.0,25181.06473213759,25667.0,25655.110154550803,29031.0,29016.737895796337,25950.0,25910.086347107062,25682.0,25628.99291799219,25194.0,25309.04363055691,27215.0,27293.192926854757,,,13842.0,13986.399749678449,21630.0,21632.642573388828,29077.0,29053.38361990791,30571.0,30662.64695187343,28940.0,29072.57565859351,25296.0,25370.75159944722,37400.0,2014,0,27220.0
2014-09-01,91.3614,90.86703281194411,121.7344,95.3821,91.1543,90.8967,0.3,1.3,1.2771487454930612,192138.056,188379.85072115212,310673.0,311634.97512836155,186044.0,187604.11871893032,6.0,6.205620431726381,101.6328,101.07367508144652,102.1218,101.68476210191363,101.792,101.32320051742518,1777645.0,538195.0,2315840.0,2314509.384737497,99.1,98.07031169234608,101.0,99.139566091356,100.77,98.80220093797834,100.2,97.225484892937,102.6,101.56098733460352,101.5,99.59255610492455,99.4,97.99243819216905,100.3,98.22291352521196,100.8,99.68008988726574,101.2,100.72780372345284,226243.0,223860.5757165231,155263.0,152345.33006674753,192138.0,188381.5121341389,403670.0,391651.4568399886,120251.0,118975.7327138456,138050.0,135479.80756905655,263171.0,259523.32948326104,213432.0,209084.3626038684,160011.0,158171.4300207978,137813.0,137150.51920281997,27300.0,27293.29379139014,25003.0,25112.024982267783,27841.0,27915.33038789736,35303.0,35496.099764173065,25347.0,25215.080231998145,25667.0,25691.058365933797,29031.0,29056.91526156923,25950.0,25948.199296658044,25682.0,25670.32834668021,25194.0,25341.49970069791,27215.0,27325.660880194977,,,13842.0,14014.569426439111,21630.0,21670.456445892363,29077.0,29071.332053251408,30571.0,30705.044551740364,28940.0,29118.805118267795,25296.0,25395.26753735604,78200.0,2014,1,73182.2
2014-10-01,91.6971,91.05857564279088,121.2386,94.8459,91.2117,91.3528,-0.7,1.3,1.2328014407190442,191854.5777,189406.9534092793,311591.0,312535.4125049664,188127.0,188179.9618351564,5.9,6.126814510214279,101.5574,101.17787910453583,101.9692,101.6953081567753,101.6348,101.32384250600003,1777645.0,538195.0,2315840.0,2313942.395266138,99.6,98.8415588571102,100.3,99.62737286283756,100.62,99.34085112109332,99.9,98.1613258145342,101.3,101.74632205894986,101.0,99.93881282667232,99.5,98.71559579616678,99.7,98.70926469061402,100.8,100.11423843062992,101.8,101.07865348509944,227303.0,225621.49651470204,154170.0,153094.93345060217,191855.0,189408.4883058685,402300.0,395420.6794509884,118619.0,119192.69939231475,137383.0,135951.40773763377,263518.0,261438.24679063517,212152.0,210119.84574905864,159925.0,158860.09820007323,138639.0,137628.7667068002,27300.0,27335.551293280776,25003.0,25132.259589111425,27841.0,27954.23815881548,35303.0,35539.46552035819,25347.0,25248.38284331075,25667.0,25727.64461265024,29031.0,29097.989343757887,25950.0,25986.929899738603,25682.0,25712.67431808433,25194.0,25374.90556580289,27215.0,27358.66578051325,,,13842.0,14043.517779184003,21630.0,21709.078437259188,29077.0,29089.732418148466,30571.0,30748.13343620001,28940.0,29165.59270280153,25296.0,25420.344989981444,48000.0,2014,0,43166.7
2014-11-01,91.6499,91.24962589457655,120.2872,96.7913,91.504,91.1109,1.0,1.1,1.1918183078225908,191209.195,190441.45294169264,311591.0,313443.43652673275,188127.0,188756.9954396044,5.7,6.049063090415284,101.5217,101.2750142298394,102.0165,101.7034971697456,101.4952,101.31955798327564,1777645.0,538195.0,2315840.0,2313614.6985112666,99.2,99.62459980226114,100.2,100.1218701651124,100.29,99.88336416728276,99.5,99.09085236622516,101.4,101.9349769699256,100.6,100.29144249925558,99.3,99.44533267271314,99.0,99.20188297719038,100.7,100.55578251353369,101.6,101.43528914009715,226352.0,227409.33375333133,154009.0,153854.76447539392,191209.0,190442.82966599212,400803.0,399164.48126647936,118778.0,119413.58436042164,136864.0,136431.66775498167,262969.0,263370.65076210554,210799.0,211168.7502588131,159782.0,159560.48661863586,138291.0,138114.89747150496,27300.0,27378.512970163727,25003.0,25153.758334219623,27841.0,27994.18349081185,35303.0,35585.249639378686,25347.0,25281.02395631806,25667.0,25764.888676892257,29031.0,29139.95983299681,25950.0,26026.34489700834,25682.0,25756.005299191245,25194.0,25409.272245803677,27215.0,27392.247741334417,,,13842.0,14073.226652531994,21630.0,21748.536584246496,29077.0,29108.6617132732,30571.0,30791.92624871209,28940.0,29212.963843958343,25296.0,25446.08768226272,41200.0,2014,0,36071.1
2014-12-01,91.894,91.44014072452572,119.2554,95.9501,92.8553,91.2366,2.3,0.7,1.1545324333773277,191669.3105,191482.3643103817,311591.0,314358.1508647187,188127.0,189335.30854788696,5.7,5.972501287560533,101.6562,101.36488744175024,102.1276,101.70964339664344,101.3918,101.31063731948336,1777645.0,538195.0,2315840.0,2313516.841842112,99.5,100.41845453571646,100.2,100.6228347897776,100.53,100.42922041347845,100.0,100.01285563183023,101.4,102.1267456645642,100.5,100.65028284488244,99.8,100.18060833943916,99.4,99.7003025747648,101.0,101.0045524339616,102.2,101.7974042030389,227176.0,229221.8453697426,153904.0,154624.4825740581,191669.0,191483.5469527593,402898.0,402877.9978892074,118798.0,119638.1477116339,136688.0,136920.3634139052,264217.0,265317.79441718414,211576.0,212230.07411433564,160267.0,160272.32996310806,139199.0,138608.49235238173,27300.0,27422.191524523296,25003.0,25176.58568778349,27841.0,28035.180937550784,35303.0,35633.458102676654,25347.0,25313.061809676383,25667.0,25802.806129420514,29031.0,29182.821767882757,25950.0,26066.508464550483,25682.0,25800.29362682667,25194.0,25444.598197745563,27215.0,27426.436899393,,,13842.0,14103.663896811722,21630.0,21788.85343205333,29077.0,29128.196053104024,30571.0,30836.423331803257,28940.0,29260.92830734191,25296.0,25472.5907040704,25200.0,2014,0,19210.0
2015-01-01,91.687,91.63010508667588,112.8737,97.9829,92.2653,90.9945,2.6,0.5,1.1212705276855055,190664.9416,192528.75582275665,315311.0,315278.5305485569,190184.0,189914.94642593348,5.6,5.897239976388776,101.9438,101.44732285561778,102.2035,101.71408282959548,101.3333,101.29738308221692,1777645.0,538195.0,2315840.0,2313639.5271627298,100.0,101.22211357929643,100.0,101.13004895411332,100.0,100.97792843521172,100.0,100.92615510819984,100.0,102.32138458872076,100.0,101.0151930133652,100.0,100.92037222142928,100.0,100.20404365350994,100.0,101.46038850500152,100.0,102.1647036267718,228276.0,231056.71587531245,153669.0,155403.75789033048,190665.0,192529.7041106927,402847.0,406556.4787079418,117156.0,119866.1054016165,136041.0,137417.30053028197,264848.0,267276.90288296895,212878.0,213302.78961972904,158683.0,160995.37830298606,136169.0,139109.14443422033,27300.0,27466.59420655422,25003.0,25200.79565066536,27841.0,28077.23441495416,35303.0,35684.077291024805,25347.0,25344.559223711763,25667.0,25841.405743170915,29031.0,29226.562620357392,25950.0,26107.479476719316,25682.0,25845.506498559447,25194.0,25480.866929212367,27615.0,27461.251082552564,,,14386.0,14134.781304945403,21944.0,21830.043294171475,29158.0,29148.40935338925,31172.0,30881.609685899533,29454.0,29309.476902733422,25519.0,25499.938722519288,39900.0,2015,0,33976.7
2015-02-01,91.961,91.8195354530697,108.4081,97.4812,93.4222,91.1984,1.7,0.4,1.0923277362970567,190827.1002,193579.70876860185,315311.0,316203.3584446255,190184.0,190495.87042935743,5.5,5.823371107938234,102.2117,101.5221648168302,102.1718,101.71718048549236,101.3192,101.28010347536728,1777645.0,538195.0,2315840.0,2313973.6177076027,100.5,102.0345036732564,100.4,101.64326551187268,100.09,101.52900380659632,100.5,101.82956939943232,101.2,102.51859971980126,100.8,101.38602171820752,99.9,101.66354731263316,98.7,100.71260552925295,101.1,101.92313072360004,100.6,102.53692032218444,229383.0,232911.48770882236,154210.0,156192.2105344347,190827.0,193580.3779629989,404773.0,410195.17450048745,118525.0,120097.11504244331,137141.0,137922.2687836413,264568.0,269245.1248425012,210050.0,214385.8236572825,160388.0,161729.38133762975,136993.0,139616.4878092861,27300.0,27511.719780928703,25003.0,25226.430169165957,27841.0,28120.334354156585,35303.0,35737.070636716526,25347.0,25375.581375569014,25667.0,25880.686860098176,29031.0,29271.15931918413,25950.0,26149.30871700354,25682.0,25891.60289712323,25194.0,25518.04454513529,27615.0,27496.693435558693,,,14386.0,14166.512498751306,21944.0,21872.1094526044,29158.0,29169.37197459572,31172.0,30927.451879251137,29454.0,29358.57815322605,25519.0,25528.204141480863,35500.0,2015,0,29441.1
2015-03-01,92.0195,92.0084522467856,105.6104,98.6209,94.5488,91.0069,0.9,0.3,1.0679560609752694,191537.2634,194634.1750061583,315311.0,317131.41967412573,190184.0,191078.06059804844,5.5,5.750965991582102,102.3996,101.58929214835524,101.8574,101.71933536852836,101.3236,101.25910919705578,1777645.0,538195.0,2315840.0,2314510.1295218263,100.5,102.85446668885297,100.7,102.16215884118688,100.46,102.08189419004896,100.5,102.72185279329884,100.4,102.71793582794872,99.4,101.76254717339816,100.1,102.40899269226288,99.6,101.22547334812276,100.4,102.3925176708353,101.2,102.91363687352458,229497.0,234783.5102037844,154728.0,156989.34014729637,191537.0,194634.5158395433,404706.0,413789.0784419609,117578.0,120330.6460444241,135261.0,138434.96227708683,265090.0,271219.4403050106,212109.0,215478.07361000605,159293.0,162473.92818457232,137740.0,140129.9523931475,27300.0,27557.555443276837,25003.0,25253.517453776894,27841.0,28164.45478112493,35303.0,35792.37510834445,25347.0,25406.19361189132,25667.0,25920.636710647064,29031.0,29316.575212388823,25950.0,26192.03603281709,25682.0,25938.530450633723,25194.0,25556.07722913099,27615.0,27532.777780165092,,,14386.0,14198.80854579041,21944.0,21915.06310301568,29158.0,29191.154943207395,31172.0,30973.93664610232,29454.0,29408.210618239165,25519.0,25557.46068852643,41500.0,2015,0,33590.0
2015-04-01,92.5513,92.19688571482877,105.2468,100.4247,94.9668,91.4788,-0.7,0.3,1.048359425168412,193224.7186,195690.9152402944,318479.0,318061.43738892244,192133.0,191661.4753142272,5.6,5.680073480366631,102.3928,101.6486315575483,101.6004,101.72097805369732,101.3151,101.23471366044014,1777645.0,538195.0,2315840.0,2315240.2082603797,101.6,103.6807379345877,101.3,102.6863169823044,101.34,102.63594731716653,101.9,103.60166724636242,103.8,102.91884611388102,100.9,102.14450689697324,101.4,103.1554449709671,100.8,101.74199249197548,102.0,102.8682307659296,101.7,103.29430135668429,231912.0,236669.88765984224,155680.0,157794.50871633168,193225.0,195690.8738633885,410445.0,417332.8071675828,121598.0,120566.0586432129,137256.0,138955.02085894547,268550.0,273196.5044793907,214541.0,216578.1357620445,161813.0,163228.51480986513,138435.0,140648.78591471957,27892.0,27604.07368646612,25474.0,25282.07019900586,28496.0,28209.55032360704,36170.0,35849.89753070698,25561.0,25436.4592945041,26220.0,25961.227685897065,29700.0,29362.756970266837,26372.0,26235.687430690767,26352.0,25986.222231449887,25946.0,25594.888661722736,27615.0,27569.52615385912,,,14386.0,14231.635755811278,21944.0,21958.92043346801,29158.0,29213.828495987756,31172.0,31021.06770320569,29454.0,29458.359483709253,25519.0,25587.78145205076,37800.0,2015,0,25300.0
2015-05-01,92.3066,92.38486687140949,103.3814,99.7841,95.3863,91.1521,-0.7,0.4,1.0336884220427411,195313.124,196748.47511257228,318479.0,318992.0083228474,192133.0,192246.01087257316,5.6,5.610724999144217,102.2635,101.70016602314338,101.328,101.72254870381462,101.2761,101.20723475720612,1777645.0,538195.0,2315840.0,2316155.091930356,103.0,104.51188921433108,102.6,103.21522643666528,102.44,103.19039828800491,103.2,104.46752041985316,103.0,103.12062281055032,102.7,102.531474341193,102.4,103.90148041267976,101.2,102.26139546257356,102.5,103.34981305882266,104.0,103.67824284499495,235052.0,238567.35725787535,157709.0,158606.92119144686,195313.0,196747.9930523301,415817.0,420820.3465432376,120610.0,120802.52191848856,139668.0,139481.8639634972,271147.0,275172.5469189584,215498.0,217684.37243409755,162631.0,163992.41628176905,141654.0,141172.07013400123,27892.0,27651.2291175694,25474.0,25312.08370231509,28496.0,28255.55314721317,36170.0,35909.51074421998,25561.0,25466.437674565288,26220.0,26002.41456326721,29700.0,29409.631431501548,26372.0,26280.27210909754,26352.0,26034.593497316047,25946.0,25634.37737918175,27615.0,27606.96630400448,,,14386.0,14264.973437969003,21944.0,22003.699641530824,29158.0,29237.460567273665,31172.0,31068.862521713432,29454.0,29509.01311539099,25519.0,25619.23684956748,32800.0,2015,0,22807.8
